setup0,setup1,setup2,setup3,setup4,setup5,setup6
1.006,1.003,0.995,0.995,1.001,1.0,1.155
1.002,1.0,0.996,0.996,1.0,1.0,1.107
0.996,0.991,0.989,0.987,1.001,1.0,1.062
1.002,1.001,1.008,0.998,0.999,1.0,1.092
1.006,1.007,1.013,1.009,1.0,1.0,1.089
1.014,1.007,1.014,1.01,1.0,1.0,1.1
1.015,1.011,1.001,0.996,1.002,1.0,1.095
1.014,1.012,1.005,1.003,1.002,1.0,1.081
1.015,1.011,1.006,1.001,1.005,1.0,1.071
1.008,1.005,1.003,0.999,1.001,1.0,1.094
