setup0,setup1,setup2,setup3,setup4,setup5,setup6
1.001,1.001,0.998,0.995,0.999,1.0,1.154
1.0,1.002,0.993,0.992,1.0,1.0,1.107
0.997,0.995,0.987,0.989,1.001,1.0,1.063
0.999,1.001,1.002,1.003,0.999,1.0,1.092
1.006,1.006,1.01,1.009,0.999,1.0,1.089
1.005,1.005,1.014,1.013,0.999,1.0,1.099
1.006,1.011,0.995,0.995,1.0,1.0,1.093
1.01,1.012,1.003,1.003,1.0,1.0,1.082
1.008,1.009,0.998,0.998,1.001,1.0,1.069
1.004,1.005,1.0,0.999,1.0,1.0,1.094
